hostname;timestamp;/;/boot;/home;/opt;/tmp;/var;/var/log;/var/log/audit
www.example.com;2018-09-09 20:40:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 20:50:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 21:00:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 21:10:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 21:20:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 21:30:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 21:40:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 21:50:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 22:00:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 22:10:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 22:20:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 22:30:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 22:40:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 22:50:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 23:00:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 23:10:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 23:20:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 23:30:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 23:40:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 23:50:01;44;10;1;91;1;5;1;6
